prompt,output,llm_output_llama,llm_output_qwen,llm_output_phi,similarity_score_llama,similarity_score_qwen,similarity_score_phi
What are plant hormones (phytohormones)? Name five major types and their functions.,Plant hormones regulate plant growth and development. Major types: Auxins: Promote stem elongation root formation apical dominance. Gibberellins: Promote stem elongation seed germination flowering. Cytokinins: Promote cell division delay leaf senescence. Abscisic Acid (ABA): Promotes dormancy stomatal closure (stress hormone). Ethylene: Promotes fruit ripening senescence.,"A. Auxin
B. Cytokinin
C. Caffeine
D. Phytohormone
E. Gibberellin

Note: The question is based on NCERT syllabus for class 9.

Answer: Plant hormones, also known as phytohormones, are chemical substances produced by plants to regulate their growth and development. Here are five major types of plant hormones and their functions:

1. Auxin: Promotes cell elongation, cell","Plant hormones, also known as phytohormones, are chemical messengers that regulate various growth and developmental processes in plants. They play crucial roles in areas such as cell elongation, cell division, differentiation, flowering, fruit ripening, and responses to environmental factors like light, gravity, and stress.

Here are five major types of plant hormones and their functions:

1. **Auxins**: These promote cell elongation and stem growth. They also influence root formation and can inhibit flower development.
","Plant hormones, or phytohormones, are chemicals that regulate plant growth and development. Five major types are:

1. Auxins: Promote cell elongation, root formation, and apical dominance.
2. Gibberellins: Stimulate stem elongation, seed germination, and flowering.
3. Cytokinins: Promote cell division, delay leaf senescence, and enhance nutri",0.75,0.74,0.81
Explain double fertilization in angiosperms (flowering plants).,Double fertilization is unique to angiosperms. One male gamete fuses with the egg cell to form the diploid zygote (develops into embryo). The second male gamete fuses with the central cell (containing two polar nuclei) to form the triploid primary endosperm nucleus (PEN) which develops into the endosperm (nutritive tissue).,"Double fertilization in angiosperms is a process where a single pollen grain fertilizes two seeds. Here's a simplified explanation:

1. One pollen grain (male gametophyte) from the flower of a plant (e.g., pea, pea flower) fertilizes the egg cell of the ovary.
2. The pollen tube formed from the pollen grain grows down through the ovary, reaching the egg cell.
3. The pollen tube penetrates the egg cell, and the diploid","Double fertilization in angiosperms involves the fusion of two sperm cells with specific partners during the process of fertilization. Specifically, one sperm fuses with the egg cell to form a zygote, which will develop into an embryo. The other sperm fuses with two polar nuclei in the central cell, forming a triploid endosperm nucleus. This results in a seed containing both an embryo and endosperm, which is characteristic of angiosperms.","Double fertilization in angiosperms involves one sperm cell fertilizing the egg cell to form a zygote, while another sperm cell fuses with two polar nuclei to form a triploid endosperm.",0.76,0.87,0.87
Describe the menstrual cycle in human females.,A recurring cycle (approx. 28 days) involving changes in the ovaries and uterus regulated by hormones (FSH LH estrogen progesterone). Phases: Menstrual phase (shedding of uterine lining) Follicular phase (follicle development in ovary estrogen rises) Ovulatory phase (release of egg from ovary LH surge) Luteal phase (corpus luteum forms progesterone rises to prepare uterus for pregnancy). If no fertilization corpus luteum degenerates hormone levels drop menstruation begins.,"The menstrual cycle in human females is a complex process controlled by the hypothalamus and the pituitary gland. Here's a concise overview:

1. **Menstruation (Days 1-5)**: The cycle begins with the release of prostaglandins, which cause the uterine lining to shed, resulting in menstruation.

2. **Follicular Phase (Days 6-14)**: The pituitary gland releases follicle-stimulating hormone (FS","The menstrual cycle in human females is a series of physiological changes that occur in the female reproductive system, primarily driven by hormonal fluctuations. It typically lasts about 28 days but can vary from 21 to 35 days among individuals. Here’s a concise overview:

1. **Menstruation (Day 1-5)**: The endometrium, or uterine lining, sheds as a result of the hormone levels dropping. This is when menstrual bleeding occurs.

2. **","The menstrual cycle is a monthly process in human females, typically lasting 28 days, involving the maturation of an egg, preparation of the uterus for pregnancy, and shedding of the uterine lining if fertilization does not occur. It comprises four phases: menstruation, follicular phase, ovulation, and luteal phase. Hormonal changes regulate these phases, primarily involving estrogen and",0.67,0.72,0.76
What is Mendel's Law of Independent Assortment?,During gamete formation the segregation of alleles for one trait is independent of the segregation of alleles for another trait (provided the genes are on different chromosomes or far apart on the same chromosome).,"Mendel's Law of Independent Assortment states that each pair of alleles separates during gamete formation, resulting in a 1:1 ratio of different alleles in offspring.","Mendel's Law of Independent Assortment states that during the formation of gametes, alleles for different traits assort independently of one another, regardless of their location on the chromosome. This means that the inheritance of one trait does not affect the inheritance of another trait.","Mendel's Law of Independent Assortment states that the alleles of two (or more) different genes get sorted into gametes independently of one another. In other words, the allele a gamete receives for one gene does not influence the allele received for another gene.",0.65,0.67,0.69
Explain incomplete dominance and codominance with examples.,Incomplete Dominance: The heterozygous phenotype is an intermediate blend between the two homozygous phenotypes (e.g. Red flower RR x White flower rr → Pink flower Rr in snapdragons). Codominance: Both alleles are fully expressed simultaneously in the heterozygote (e.g. AB blood group in humans where both A and B antigens are present).,"In incomplete dominance, one allele is not completely dominant over the other. 

Example: In pea plants, the allele for green flowers (R) is not completely dominant over the allele for yellow flowers (r). The offspring can be green, yellow, or a combination of both, depending on the genotype.

In codominance, both alleles have an effect on the phenotype. 

Example: In tomato plants, the alleles for red (R) and yellow (r) flowers are both expressed, resulting","Incomplete dominance occurs when both alleles of a gene are expressed in the phenotype of an organism, resulting in a blend of the parental traits. For example, in snapdragon flowers, the allele for red color and the allele for white color show incomplete dominance. When a plant has one allele for red and one for white, it will have pink flowers.

Codominance happens when both alleles are fully expressed in the phenotype, and neither trait is masked by the other. An example of this is the ABO","Incomplete dominance occurs when the phenotype of the heterozygote is an intermediate of the phenotypes of the homozygotes, such as in snapdragons where red (RR) and white (WW) flowers produce pink (RW) offspring. Codominance occurs when both alleles in a heterozygote are fully expressed, such as in human blood types where IA and IB alleles are codominant,",0.63,0.68,0.8
What are sex-linked traits? Give an example.,Sex-linked traits are traits determined by genes located on the sex chromosomes (usually the X chromosome in humans). They show different patterns of inheritance in males and females. Example: Haemophilia Colour blindness.,"In genetics, sex-linked traits are genes that are located on the sex chromosomes (X and Y in humans, and X in other organisms) and are inherited based on the sex of the offspring. 

Example: The ABO blood group system is a classic example of sex-linked traits. The ABO blood group is determined by a single gene on the X chromosome, and the genotype (genetic makeup) of the individual determines the phenotype (blood group).","Sex-linked traits are genetic traits that are located on the sex chromosomes (X or Y). Since males have one X and one Y chromosome, they only need one copy of the gene to express the trait, while females need two copies, one from each parent, to express it. An example of a sex-linked trait is color blindness, which is often linked to the X chromosome.","Sex-linked traits are characteristics determined by genes located on sex chromosomes, typically the X chromosome. An example is hemophilia, a disorder that impairs blood clotting, which is more common in males due to its X-linked recessive inheritance pattern.",0.82,0.88,0.93
Describe the structure of DNA (Watson-Crick model).,DNA is a right-handed double helix. Two polynucleotide strands run antiparallel. The sugar-phosphate backbone is on the outside. Nitrogenous bases (Adenine-A Guanine-G Cytosine-C Thymine-T) are paired in the interior (A with T via 2 hydrogen bonds G with C via 3 hydrogen bonds).,"The Watson-Crick model describes the structure of DNA as a double-stranded helix. 

- The double helix is composed of two strands of nucleotides (adenine, guanine, cytosine, and thymine) that are twisted together.
- The strands are held together by hydrogen bonds between the nucleotides.
- The double helix is stabilized by the sugar-phosphate backbone of the DNA molecule.
- The two strands are antiparallel, meaning that one strand","The Watson-Crick model of DNA describes it as a double helix structure. It consists of two polynucleotide chains running in opposite directions, held together by hydrogen bonds between complementary base pairs (adenine with thymine, and cytosine with guanine). The backbone of each strand is made from deoxyribose sugars and phosphate groups, while the bases project inward. The helix has a pitch of about 3.4 nanometers and a diameter of about 2 nan","The Watson-Crick model of DNA structure is a double helix, where two strands of nucleotides are coiled around each other. Each strand is composed of a sugar-phosphate backbone, with nitrogenous bases (adenine, thymine, cytosine, and guanine) attached to the sugar molecules. The strands are antiparallel, meaning they run in opposite directions. The nitrogenous bases pair specifically",0.62,0.69,0.74
Explain the process of DNA replication (semi-conservative model).,The DNA double helix unwinds and each strand serves as a template for the synthesis of a new complementary strand using DNA polymerase enzyme. Each resulting DNA molecule consists of one original (parent) strand and one newly synthesized strand (semi-conservative).,"Here's a concise explanation of the semi-conservative model of DNA replication:

**Step 1: Unwinding**
The double-stranded DNA (dsDNA) is unwound into two single-stranded DNA (ssDNA) molecules, each with a single strand of the original DNA sequence.

**Step 2: Binding of Proteins**
Anchoring proteins (e.g., helicase) bind to the unwound DNA, stabilizing the structure.

**Step 3: Synthesis","DNA replication follows the semi-conservative model, where each new DNA molecule consists of one strand from the original DNA molecule and one newly synthesized strand. Here’s a concise explanation:

1. **Initiation**: The double helix unwinds at specific sites along the DNA molecule, facilitated by enzymes called helicases.

2. **Primer Binding**: RNA primers are synthesized by an enzyme called primase, which binds to the single-stranded regions.

3. **Nucleotide Addition**: DNA","DNA replication follows a semi-conservative model where each new DNA molecule consists of one original and one new strand. The process begins with the unwinding of the double helix by helicase, creating a replication fork. Single-strand binding proteins stabilize the unwound strands. DNA polymerase then adds nucleotides to the template strands, synthesizing new complementary strands. Leading and lagging strands are formed due",0.61,0.64,0.71
Explain the central dogma of molecular biology.,The central dogma describes the flow of genetic information: DNA → (transcription) → RNA → (translation) → Protein. DNA stores information RNA carries it and proteins perform cellular functions.,"The central dogma of molecular biology, proposed by Francis Crick in 1958, states that:

1. DNA (Deoxyribonucleic acid) contains the genetic information for an organism.
2. This genetic information is transcribed into mRNA (messenger ribonucleic acid) through a process called transcription.
3. The mRNA is then translated into a protein sequence through a process called translation.
4. The protein sequence is then folded into its 3D structure, which is","The central dogma of molecular biology outlines the primary flow of genetic information within cells. It states that genetic information flows from DNA (deoxyribonucleic acid) to RNA (ribonucleic acid) to protein (polypeptide). Specifically:

1. DNA is transcribed into mRNA (messenger RNA).
2. The mRNA then translates into a specific sequence of amino acids, which folds into a functional protein.

This one-way flow ensures that genetic information is accurately copied and translated into","The central dogma of molecular biology states that genetic information flows from DNA to RNA to protein. DNA is transcribed into RNA, which is then translated into protein.",0.69,0.81,0.82
Describe the process of transcription.,Transcription is the synthesis of an RNA molecule (usually messenger RNA mRNA) from a DNA template strand. It occurs in the nucleus (eukaryotes) and is catalyzed by RNA polymerase.,"Transcription is the process by which the genetic information in a DNA sequence is converted into a complementary RNA molecule. It involves an enzyme called RNA polymerase, which binds to the DNA sequence and unwinds the DNA double helix structure.

The process of transcription can be described as follows:

1. RNA polymerase binds to the DNA sequence and unwinds the DNA double helix structure.
2. The RNA polymerase reads the template DNA strand and matches the incoming nucleotides to the base pairing rules","Transcription is the first step in gene expression, where DNA is used as a template to synthesize RNA. Specifically:

1. **Initiation**: The enzyme RNA polymerase binds to a specific region on the DNA called the promoter, initiating the transcription process.

2. **Elongation**: RNA polymerase unwinds the double helix at the promoter site and synthesizes a complementary RNA strand (mRNA) using one of the DNA strands as a template. This process continues until the RNA polymer","Transcription is the process by which the genetic information in a strand of DNA is copied into a new molecule of messenger RNA (mRNA). This occurs when RNA polymerase binds to the DNA at the promoter region, unwinds the DNA strands, and synthesizes the mRNA strand by adding complementary RNA nucleotides to the DNA template strand. The mRNA then undergoes processing, including the addition",0.82,0.73,0.89
Describe the process of translation (protein synthesis).,Translation is the synthesis of a polypeptide chain (protein) from the genetic information encoded in mRNA. It occurs on ribosomes in the cytoplasm. Transfer RNA (tRNA) molecules bring specific amino acids corresponding to codons (three-base sequences) on the mRNA.,"Here's a concise answer:

The process of translation (protein synthesis) involves the following steps:

1. **mRNA Unwinding**: The messenger RNA (mRNA) molecule is unwound, and the sequence of nucleotides is exposed.

2. **Ribosome Binding**: The ribosome binds to the mRNA molecule, positioning itself for translation.

3. **tRNA Binding**: Transfer RNA (tRNA) molecules, each carrying a specific amino acid, bind to the ribosome.

4","Translation is the process in which genetic information from mRNA is used to synthesize proteins. It occurs in the cytoplasm of the cell, primarily in the ribosomes.

1. **Initiation**: The process begins with the binding of the small ribosomal subunit to the mRNA at a specific start codon (usually AUG, which codes for methionine).

2. **Elongation**: The large ribosomal subunit then binds, forming a complete ribosome. Transfer RNA (tRNA","Translation is the process where ribosomes synthesize proteins using mRNA as a template, involving initiation, elongation, and termination phases.",0.74,0.83,0.76
What is the genetic code? Mention its key features.,The genetic code is the set of rules by which information encoded in genetic material (DNA or RNA sequences) is translated into proteins (amino acid sequences). Features: Triplet code (codons are 3 bases) Non-overlapping Comma-less Degenerate (most amino acids coded by >1 codon) Universal (mostly same in all organisms) Has start (AUG) and stop codons.,"The genetic code is a set of three-nucleotide sequences (codons) that correspond to specific amino acids or stop signals during protein synthesis.

Key features:

1. The genetic code is universal, meaning it's the same across all living organisms.
2. It's composed of 64 possible codons, but only 20 amino acids are encoded.
3. The genetic code is degenerate, meaning multiple codons can encode the same amino acid.
4. It's used to translate messenger RNA","The genetic code is the set of rules used by living cells to translate information encoded within genetic material (DNA or RNA sequences) into proteins (amino acid sequences). Key features of the genetic code include:

1. **Degeneracy**: Each amino acid can be coded by one of two to six nucleotide triplets (codons).
2. **Universality**: The same genetic code is used by all known living organisms.
3. **Non-overlapping**: Codons do not overlap in the","The genetic code is a set of rules by which information encoded in genetic material (DNA or RNA sequences) is translated into proteins by living cells. Key features include:

1. Triplet Code: It is read in sets of three nucleotides called codons.
2. Universality: It is nearly universal across all organisms.
3. Redundancy: Multiple codons can code for the same amino acid (degeneracy).
",0.85,0.86,0.91
What is evolution? Outline Darwin's theory of natural selection.,Evolution is the change in heritable characteristics of biological populations over successive generations. Darwin's theory: Organisms produce more offspring than can survive (struggle for existence). There is variation among individuals. Individuals with variations best suited (fittest) to their environment survive and reproduce more successfully (natural selection). Over time favourable adaptations accumulate leading to new species.,"Evolution is the scientifically supported theory that all species have evolved over time through a process of variation, mutation, genetic drift, gene flow, and natural selection.

Darwin's Theory of Natural Selection:

1. **Variation**: All individuals within a species exhibit genetic variation.
2. **Heritability**: The characteristics of an individual are heritable, meaning they are passed down from parents to offspring.
3. **Differential reproduction**: The individuals with favorable traits are more likely to reproduce, passing","### Evolution

Evolution refers to the process by which species change over time through genetic variation, natural selection, and genetic drift.

### Darwin's Theory of Natural Selection

Charles Darwin proposed that organisms within a population vary in their traits. These variations can be inherited. In environments where resources are limited, individuals with advantageous traits (e.g., better camouflage for predators or prey) are more likely to survive and reproduce. Over generations, these advantageous traits become more common in the population, while less advantageous traits","Evolution is the process through which species undergo changes in their genetic makeup over successive generations, leading to the development of new species. Darwin's theory of natural selection posits that individuals within a species show variation in their traits, and those with traits better suited to their environment are more likely to survive and reproduce. Over time, these advantageous traits become more common in the population, driving the evolutionary change.",0.8,0.87,0.89
What is speciation? How can it occur?,Speciation is the evolutionary process by which new biological species arise. It often occurs due to reproductive isolation where populations become unable to interbreed. Mechanisms include geographic isolation (allopatric speciation) or reproductive barriers arising within a single population (sympatric speciation).,"Speciation is the process by which a new species emerges from an existing one, often due to geographical isolation, genetic drift, mutation, or natural selection.","Speciation is the process by which new biological species arise from existing ones. It can occur through several mechanisms:

1. **Allopatric Speciation**: This occurs when populations of a single species become geographically isolated, leading to different evolutionary paths due to different environmental pressures.

2. **Sympatric Speciation**: This is less common but involves the formation of new species within the same geographic area without geographical isolation.

3. **Peripatric Speciation**: Similar to allopat","Speciation is the evolutionary process by which populations evolve to become distinct species. It can occur through mechanisms such as geographic isolation (allopatric speciation), where physical barriers prevent gene flow between populations, or through reproductive isolation (sympatric speciation), where populations diverge genetically without physical separation, often due to ecological specialization or behavioral changes.",0.83,0.89,0.96
What is evidence for evolution? (e.g. fossils homologous structures),Evidence includes: Fossil record (shows changes over time) Comparative anatomy (homologous structures - similar origin different function; analogous structures - different origin similar function) Comparative embryology (similarities in early development) Biogeography (distribution of species) Molecular biology (similarities in DNA/proteins).,"Fossils, homologous structures, and comparative anatomy are evidence for evolution.","Evidence for evolution includes several key points:

1. Fossils: Fossil records show a gradual change in species over time, indicating evolutionary adaptations.
2. Homologous structures: Similar body parts in different species that have a common evolutionary origin, such as the forelimbs of whales, bats, and humans.
3. Vestigial structures: Organs or body parts that have lost their original function but retain their ancestral form, like the human appendix.
4. Embryology: Similar","Fossils, homologous structures, and genetic similarities are evidence for evolution.",0.78,0.7,0.76
What is ecological succession? Differentiate between primary and secondary succession.,Ecological succession is the gradual process of change in species composition and community structure over time. Primary succession occurs in a lifeless area with no soil (e.g. bare rock new volcanic island). Secondary succession occurs in an area where a previous community has been removed but soil remains (e.g. after a fire abandoned field).,"Ecological succession is the process of change in the community structure of a biological community over time, especially after disturbance or disturbance removal.

Primary succession occurs in areas where no vegetation or soil exists, such as after a volcanic eruption or in a newly formed volcanic island. It involves the development of pioneer species, like mosses and lichens, which create a habitat for other organisms.

Secondary succession occurs in areas where some vegetation or soil still exists, such as after a forest fire or in a recently cleared","Ecological succession is the process by which the species composition of a community changes over time in response to environmental conditions. This change occurs through various stages, starting from bare land or disturbed areas.

Primary succession occurs on non-vegetated surfaces such as lava flows, glacial moraines, or rocks. It starts with pioneer organisms like lichens and mosses that can survive harsh conditions. Over time, these organisms create soil, allowing for the growth of more complex plants. Eventually, this leads to","Ecological succession is the gradual process by which ecosystems change and develop over time. Primary succession occurs in lifeless areas where soil has not yet formed, such as after a volcanic eruption or glacier retreat. Secondary succession happens in areas where a disturbance (like fire or human activity) has destroyed an existing ecosystem but left the soil intact.

Key differences:
1. Primary succession starts on bare rock or sand, while",0.94,0.91,0.95
Describe the different types of population interactions (e.g. mutualism predation).,Mutualism (+/+): Both benefit (e.g. lichens). Commensalism (+/0): One benefits other unaffected (e.g. orchids on a tree). Predation (+/-): Predator kills and eats prey. Parasitism (+/-): Parasite benefits host harmed. Competition (-/-): Both harmed due to shared limited resource. Amensalism (-/0): One harmed other unaffected.,"Here are the different types of population interactions:

1. **Mutualism**: Both species benefit from each other, e.g., clownfish and sea anem, where the clownfish gets protection and the sea anem gets nutrients.

2. **Commensalism**: One species benefits, and the other does not, e.g., remora fish (remora) and sharks, where the remora fish gets a meal.

3. **Parasitism**: One species benefits, and","Population interactions can be broadly categorized into four main types: mutualism, predation, competition, and parasitism.

1. **Mutualism**: This is a relationship where both species benefit from each other. For example, bees and flowers; bees get nectar for food, and flowers get pollinated.

2. **Predation**: One organism (the predator) hunts and kills another organism (the prey) for food. Examples include lions hunting zebras or sharks eating fish.

3.",Mutualism: Both species benefit; predation: One species benefits at the expense of the other; competition: Species vie for the same resources; commensalism: One species benefits while the other is unaffected; parasitism: One species benefits while the other is harmed.,0.54,0.58,0.74
What are the major threats to biodiversity?,Major threats include: Habitat loss and fragmentation Over-exploitation (overhunting overfishing) Pollution Introduction of invasive alien species Climate change. (Often remembered by the acronym HIPPO).,"The major threats to biodiversity are:

1. Habitat destruction and fragmentation
2. Overexploitation of resources (e.g., overhunting, overfishing)
3. Pollution (e.g., chemical, noise, and thermal pollution)
4. Climate change
5. Invasive species
6. Overpopulation of species
7. Human activities (e.g., deforestation, urbanization, agriculture)","The major threats to biodiversity include habitat destruction, climate change, pollution (air, water, and noise), overexploitation of resources, invasive species, and introduction of diseases.","Habitat destruction, climate change, pollution, invasive species, and overexploitation.",0.68,0.73,0.73
Why is biodiversity conservation important? Mention in-situ and ex-situ conservation methods.,Biodiversity is essential for ecosystem stability provides ecological services (pollination climate regulation) economic benefits (food medicine tourism) and has ethical/aesthetic value. In-situ conservation protects species in their natural habitats (e.g. National Parks Sanctuaries Biosphere Reserves). Ex-situ conservation protects species outside their natural habitats (e.g. Botanical Gardens Zoos Seed Banks Cryopreservation).,"Biodiversity conservation is important because it helps maintain the health of ecosystems, supports human well-being, and provides a wide range of ecosystem services.

In-situ conservation methods include:

- Habitat preservation and restoration
- Ecosystem management
- Wildlife conservation

Ex-situ conservation methods include:

- Ex-situ seed banks
- Cryopreservation
- Tissue culture
- Gene banks
- Zoo and aquarium conservation","Biodiversity conservation is crucial because it maintains ecological balance, supports human health and well-being, ensures sustainable use of resources, and preserves genetic diversity that can be beneficial for future innovations.

In-situ conservation involves protecting species in their natural habitats. This includes setting up protected areas like national parks and wildlife reserves where species can live without human interference.

Ex-situ conservation involves moving species out of their natural habitats for protection. This can include breeding programs in zoos and aquariums, seed banks, and","Biodiversity conservation is crucial for maintaining ecosystem balance, ensuring natural sustainability, and providing resources for medicine, agriculture, and industry. In-situ conservation involves protecting species in their natural habitats, while ex-situ conservation involves preserving species outside their natural habitats, such as in zoos or seed banks.",0.82,0.82,0.85
What is pollution? Name different types.,Pollution is the introduction of harmful contaminants into the natural environment that cause adverse change. Types: Air pollution Water pollution Soil pollution Noise pollution Thermal pollution Radioactive pollution.,"Pollution is the contamination of the environment, usually by human activities, that can harm living organisms and their habitats. 

Types of pollution:

1. Air pollution: Release of pollutants into the air, such as particulate matter, sulfur dioxide, and nitrogen oxides.
2. Water pollution: Contamination of water bodies, like rivers, lakes, and oceans, by chemicals, sewage, and industrial waste.
3. Land pollution: Contamination of land, including litter, toxic waste, and industrial","Pollution refers to the introduction of contaminants into the environment that causes harm or disruption to the ecosystem. There are several types of pollution:

1. Air Pollution - caused by emissions from vehicles, factories, and other sources.
2. Water Pollution - contamination of water bodies like rivers, lakes, and oceans.
3. Soil Pollution - contamination of soil by chemicals, heavy metals, or other substances.
4. Noise Pollution - excessive noise levels that can disturb wildlife and humans.
5. Light Pollution - excessive","Pollution is the introduction of contaminants into the natural environment, causing adverse change. Different types include air pollution, water pollution, soil pollution, noise pollution, light pollution, and radioactive pollution.",0.68,0.77,0.9
Explain biomagnification with an example.,Biomagnification (or bioamplification) is the increasing concentration of a substance (like pesticides or heavy metals) in the tissues of organisms at successively higher levels in a food chain. Example: DDT accumulating in aquatic food chains reaching high levels in fish-eating birds causing eggshell thinning.,"Biomagnification: It's the increase in concentration of a substance (like mercury, lead, or pesticides) in a food chain, starting from the base of the food chain.

Example: 

- Small fish (e.g., sardines) eat algae and plankton, which have low levels of mercury.
- Small fish eat small fish, which have higher levels of mercury.
- Large fish (e.g., sharks) eat smaller fish, which have higher levels of mercury.
- Large","Biomagnification is the process where the concentration of a pollutant increases at each level of a food chain as organisms are eaten. This occurs because pollutants like heavy metals or certain organic compounds are not easily excreted from organisms, leading to their accumulation in tissues over time.

**Example:** Mercury is often used here. When small fish eat plankton that has absorbed mercury, they accumulate some of it. Larger fish that eat these smaller fish will have even higher levels of mercury. As humans consume","Biomagnification refers to the increasing concentration of a substance, such as a toxic chemical, in the tissues of organisms at successively higher levels in a food chain. An example is the accumulation of DDT (a pesticide) in fish, which is then consumed by birds, leading to higher concentrations in birds than in water or fish, causing harmful effects like thinning eggshells.",0.64,0.76,0.91
What is eutrophication?,Eutrophication is the enrichment of a water body with nutrients (mainly nitrates and phosphates) often from sewage or agricultural runoff. This leads to excessive growth of algae (algal bloom) which depletes oxygen when they die and decompose harming aquatic life.,"Eutrophication is the process by which a body of water becomes enriched with dissolved nutrients, such as nitrogen and phosphorus, that promote excessive growth of plant life, leading to decreased water quality and potentially harming aquatic life.","Eutrophication is the enrichment of an aquatic ecosystem with nutrients, primarily nitrogen and phosphorus, leading to an increase in algae and other plant growth. When these plants die, they sink to the bottom and decompose, using up oxygen in the process. This can lead to hypoxic (low-oxygen) or anoxic (no-oxygen) conditions for fish and other aquatic life, causing them significant harm or death.","Eutrophication is the process where water bodies receive excess nutrients, leading to excessive growth of algae and depletion of oxygen.",0.91,0.91,0.89
What is biotechnology? Give some applications.,Biotechnology uses living organisms or their components to develop or create products and processes beneficial to humans. Applications: Medicine (vaccines antibiotics insulin production gene therapy) Agriculture (genetically modified crops - pest resistance improved yield) Industry (enzymes biofuels) Environment (bioremediation).,"Biotechnology is the use of biological systems, living organisms, or biotechnology tools to develop or find solutions to practical problems or in areas such as agriculture, medicine, and environmental protection.","Biotechnology is the application of biological systems, organisms, or their derivatives to develop or produce products that benefit humans or improve living conditions. It involves using living organisms or their components to create new technologies or processes.

Some applications of biotechnology include:

1. Medicine: Developing vaccines, creating genetically modified crops for better nutrition, and producing enzymes for medical treatments.
2. Agriculture: Improving crop yields through genetic modification, developing pest-resistant plants, and creating biopesticides.
3. Environmental remediation:","Biotechnology is the use of living organisms or their systems to develop or create different products, often for specific applications. Applications include:

1. Medicine: Development of vaccines, antibiotics, and gene therapy.
2. Agriculture: Genetically modified crops for increased yield and resistance to pests and diseases.
3. Environmental: Bioremediation using microorganisms to clean up pollutants.
4.",0.79,0.8,0.85
What is genetic engineering (Recombinant DNA technology)?,Genetic engineering involves techniques to alter the genetic material (DNA/RNA) of organisms. Recombinant DNA technology specifically involves combining DNA from different sources to create a new DNA molecule (recombinant DNA) which can then be introduced into host organisms.,"Genetic engineering, also known as recombinant DNA technology, is a technique used to manipulate an organism's DNA to produce desired traits or characteristics. It involves the use of enzymes to cut DNA, cloning vectors to carry the DNA, and enzymes to join the DNA back together.","Genetic engineering, also known as recombinant DNA technology, involves the manipulation of DNA molecules from different sources to create new combinations that do not occur naturally. This process allows scientists to insert specific genes into an organism's genome, enabling it to produce proteins or traits not found in its natural state.","Genetic engineering, also known as recombinant DNA technology, is the manipulation and recombination of DNA from different sources to create new genetic combinations with desired traits.",0.87,0.91,0.89
What are restriction enzymes and DNA ligase used for in rDNA technology?,Restriction enzymes act like molecular scissors cutting DNA at specific recognition nucleotide sequences. DNA ligase acts like molecular glue joining DNA fragments together (e.g. joining a gene of interest to a vector).,"In rDNA technology, restriction enzymes are used to cut DNA at specific points, creating a unique sequence for cloning. DNA ligase is used to join two DNA fragments together, forming a single, stable molecule.","Restriction enzymes are used to cut DNA at specific sequences, while DNA ligase is used to join (ligate) DNA fragments that have been cut by restriction enzymes. In recombinant DNA technology, these enzymes facilitate the manipulation of genetic material.","Restriction enzymes cut DNA at specific sequences, and DNA ligase joins DNA fragments together; they are used in rDNA technology for cutting and recombining DNA fragments to create recombinant DNA.",0.79,0.85,0.77
What is Polymerase Chain Reaction (PCR)? What is it used for?,PCR is a technique used to rapidly amplify (make many copies of) a specific segment of DNA in vitro. Uses: DNA fingerprinting diagnostics (detecting pathogens) genetic research cloning.,"Polymerase Chain Reaction (PCR) is a laboratory technique used to amplify specific DNA sequences. It involves the use of thermal cycling, where the DNA is denatured, amplified, and re-annealed in a cycle of heating, cooling, and amplification, resulting in millions of copies of the target DNA sequence. 

PCR is used in various fields, including:

- Genetic engineering and biotechnology
- Forensic science
- Molecular biology and genetics
- Diagnostic testing and disease research

","Polymerase Chain Reaction (PCR) is a molecular biology technique used to amplify specific segments of DNA. It involves repeating cycles of heating and cooling to replicate the target DNA sequence exponentially. PCR is widely used in various fields including forensic science, medical diagnostics, genetic research, and cloning.

It is used for:
1. Amplifying small amounts of DNA for easier detection.
2. Identifying specific genetic variations or mutations.
3. Assisting in the diagnosis of diseases by detecting pathogens or disease markers.
","PCR is a technique used to amplify specific DNA sequences, making millions to billions of copies of a particular DNA segment. It is used for various applications including genetic research, medical diagnostics, forensic analysis, and cloning.",0.85,0.86,0.94
What are genetically modified organisms (GMOs)? Give an example.,GMOs are organisms whose genetic material has been altered using genetic engineering techniques. Example: Bt cotton (contains a gene from Bacillus thuringiensis bacterium making it resistant to certain insect pests).,"Genetically modified organisms (GMOs) are living organisms (plants, animals, or microorganisms) whose genetic material has been altered using genetic engineering techniques. 

Example: Bt Brinjal (a genetically modified crop) is a type of tomato that has been engineered to produce a toxin called beta-carolactone, which kills certain pests, reducing the need for pesticides.","Genetically Modified Organisms (GMOs) are organisms whose genetic material has been altered through genetic engineering techniques. This involves inserting genes from one organism into another to introduce new traits or characteristics. An example of a GMO is Bt cotton, which has been engineered to produce a protein that is toxic to certain insects, thereby reducing the need for pesticides.","Genetically modified organisms (GMOs) are organisms whose genetic material has been altered using genetic engineering techniques to introduce new traits or characteristics. An example of a GMO is Bt corn, which has been engineered to produce a bacterial toxin (Bt toxin) that is harmful to certain pests but safe for human consumption.",0.85,0.9,0.89
